iso3,n,index,country,population
ARG,119,30.7,Argentina,44494502
AUS,330,52,Australia,24992369
AUT,62,51.3,Austria,8847037
BEL,111,50.5,Belgium,11422068
BGD,107,23.1,Bangladesh,161356039
BLR,91,29.4,Belarus,9485386
BRA,736,33.4,Brazil,209469333
CAN,604,53,Canada,37058856
CHE,164,68.4,Switzerland,8516543
CHL,76,37.8,Chile,18729160
CHN,1644,53.1,China,1392730000
COL,128,33.8,Colombia,49648685
CZE,72,48.7,Czech Republic,10625695
DEU,734,58,Germany,82927922
DNK,106,58.4,Denmark,5797446
EGY,96,27.2,"Egypt, Arab Rep.",98423595
ESP,485,48.7,Spain,46723749
FIN,79,59.6,Finland,5518050
FRA,604,54.4,France,66987244
GBR,702,60.1,United Kingdom,66488991
GRC,121,38.9,Greece,10727668
HKG,76,54.6,"Hong Kong SAR, China",7451000
HUN,93,44.9,Hungary,9768785
IDN,171,29.8,Indonesia,267663435
IND,4417,35.2,India,1352617328
IRL,101,57.2,Ireland,4853506
IRN,113,33.4,"Iran, Islamic Rep.",81800269
ISR,173,56.8,Israel,8883800
ITA,355,46.3,Italy,60431283
JPN,597,55,Japan,126529100
KEN,85,31.1,Kenya,51393010
KOR,259,56.6,"Korea, Rep.",51635256
MAR,71,31.1,Morocco,36029138
MEX,202,35.3,Mexico,126190788
MYS,113,43,Malaysia,31528585
NGA,208,22.4,Nigeria,195874740
NLD,270,63.3,Netherlands,17231017
NOR,74,52.6,Norway,5314336
NZL,77,51.3,New Zealand,4885500
PAK,161,24.1,Pakistan,212215030
PER,81,31.8,Peru,31989256
PHL,73,31.6,Philippines,106651922
POL,301,41.7,Poland,37978548
PRT,155,45.7,Portugal,10281762
ROU,79,37.6,Romania,19473936
RUS,879,37.9,Russian Federation,144478050
SGP,186,59.8,Singapore,5638676
SWE,155,63.1,Sweden,10183175
THA,73,38,Thailand,69428524
TUN,74,32.9,Tunisia,11565204
TUR,327,37.4,Turkey,82319724
UKR,252,38.5,Ukraine,44622516
USA,4716,59.8,United States,327167434
VNM,144,37.9,Vietnam,95540395
ZAF,147,35.1,South Africa,57779622
